DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,LOCATION,LAT,LON,Year,Month,Day,Time Period,Age Range
190326475,03/01/2020 12:00:00 AM,2020-03-01,0.906343124733929,7,12,784,1,510,49,344,39,F,3,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,0,510,998,1900 S  LONGWOOD                     AV,34.0375,-118.3506,0,0.181818181818182,0,12 AM - 3 AM,30-39
200106753,02/09/2020 12:00:00 AM,2020-02-08,0.765857811834823,1,1,182,1,330,11,1822 1402 0344,47,F,3,128,3,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,330,998,1000 S  FLOWER                       ST,34.0444,-118.2628,0,0.0909090909090909,0.233333333333333,12 AM - 3 AM,40-49
200320258,11/11/2020 12:00:00 AM,2020-11-04,0.7232865048957,3,8,356,1,480,6,0344 1251,19,X,5,502,32,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,480,946.744186046512,1400 W  37TH                         ST,34.021,-118.3002,0,0.909090909090909,0.1,12 AM - 3 AM,10-19
200907217,05/10/2023 12:00:00 AM,2020-03-10,0.866751809280545,9,9,964,1,343,37,0325 1501,19,F,3,405,6,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,343,946.744186046512,14000    RIVERSIDE                    DR,34.1576,-118.4387,0,0.181818181818182,0.3,12 AM - 3 AM,10-19
200412582,09/09/2020 12:00:00 AM,2020-09-09,0.267773520647084,4,3,413,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,200 E  AVENUE 28,34.082,-118.213,0,0.727272727272727,0.266666666666667,12 AM - 3 AM,30-39
200209713,05/03/2020 12:00:00 AM,2020-05-02,0.765857811834823,2,7,245,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,2500 W  4TH                          ST,34.0642,-118.2771,0,0.363636363636364,0.0333333333333333,12 AM - 3 AM,30-39
200200759,07/07/2020 12:00:00 AM,2020-07-07,0.570029799914858,2,7,265,1,648,0,0329 1402 2004 1501,39,X,5,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,648,998,JAMES M WOOD,34.0536,-118.2788,0,0.545454545454545,0.2,12 AM - 3 AM,30-39
201308739,03/27/2020 12:00:00 AM,2020-03-27,0.514687100893998,13,5,1333,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,3200 S  SAN PEDRO                    ST,34.017,-118.2643,0,0.181818181818182,0.866666666666667,12 AM - 3 AM,30-39
201112065,07/31/2020 12:00:00 AM,2020-07-30,0.863771817794806,11,6,1161,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,0,510,946.744186046512,KENMORE                      ST,34.0953,-118.2974,0,0.545454545454545,0.966666666666667,12 AM - 3 AM,30-39
200121929,12/04/2020 12:00:00 AM,2020-12-03,0.978714346530439,1,1,105,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,400    SOLANO                       AV,34.071,-118.2302,0,1,0.0666666666666667,12 AM - 3 AM,30-39
201215394,06/26/2020 12:00:00 AM,2020-06-25,0.936143039591316,12,0,1259,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,FLORENCE,33.9747,-118.2587,0,0.454545454545455,0.8,12 AM - 3 AM,30-39
200406391,03/02/2020 12:00:00 AM,2020-03-01,0.608343976160068,4,3,407,1,310,10,0344 1607,27,F,4,221,48,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,310,946.744186046512,4500    HUNTINGTON DR,34.0881,-118.1877,0,0.181818181818182,0,12 AM - 3 AM,20-29
